y,p,r
1.7326,1.3563,0.1780
1.7251,1.3474,0.1734
1.7187,1.3370,0.1697
1.7129,1.3254,0.1665
1.7074,1.3130,0.1635
1.7019,1.2995,0.1606
1.6965,1.2857,0.1577
1.6911,1.2717,0.1548
1.6862,1.2585,0.1524
1.6822,1.2462,0.1505
1.6792,1.2352,0.1493
1.6773,1.2253,0.1489
1.6772,1.2172,0.1499
1.6792,1.2112,0.1525
1.6834,1.2077,0.1568
1.6899,1.2069,0.1627
1.6979,1.2084,0.1698
1.7067,1.2116,0.1776
1.7154,1.2162,0.1853
1.7242,1.2216,0.1926
1.7328,1.2277,0.1996
1.7415,1.2346,0.2065
1.7509,1.2417,0.2138
1.7608,1.2487,0.2214
1.7712,1.2553,0.2294
1.7822,1.2616,0.2377
1.7937,1.2670,0.2464
1.8055,1.2714,0.2551
1.8175,1.2745,0.2641
1.8298,1.2758,0.2732
1.8425,1.2752,0.2825
1.8556,1.2721,0.2923
1.8691,1.2663,0.3025
1.8829,1.2578,0.3129
1.8967,1.2467,0.3234
1.9107,1.2331,0.3341
1.9251,1.2173,0.3450
1.9394,1.1998,0.3558
1.9535,1.1814,0.3666
1.9673,1.1627,0.3768
1.9803,1.1441,0.3863
1.9924,1.1261,0.3946
2.0031,1.1089,0.4017
2.0125,1.0929,0.4074
2.0212,1.0782,0.4125
2.0292,1.0642,0.4174
2.0369,1.0509,0.4221
2.0445,1.0381,0.4270
